method,crop,region,year,driver_group,dominant_feature,observed_yield_t_ha,trend_yield_t_ha,yield_gap_t_ha,recovered_gap_t_ha,recoverable_fraction,claim_sentence
00_baseline_v1_raw_yield_scaa,Canola,North Dakota,2002,heat,heatwave_events_3d_30,1.3562,1.6189015126050492,0.26270151260504915,0.04158238095237965,0.15828755814929568,"In North Dakota Canola 2002, heat exposure was the dominant modelled driver; moving heatwave_events_3d_30 toward feasible normal levels recovered 0.042 t/ha (15.8%) of the 0.263 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Oats,Colorado,2002,drought,dry_days_2mm,1.7934,2.252713694581292,0.4593136945812919,0.19201657142857131,0.4180510481047439,"In Colorado Oats 2002, drought/dry-spell stress was the dominant modelled driver; moving dry_days_2mm toward feasible normal levels recovered 0.192 t/ha (41.8%) of the 0.459 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Oats,Nebraska,2002,heat,season_tmax_mean,1.5423,2.1177938266838243,0.5754938266838243,0.22132852380952395,0.38458887575717055,"In Nebraska Oats 2002, heat exposure was the dominant modelled driver; moving season_tmax_mean toward feasible normal levels recovered 0.221 t/ha (38.5%) of the 0.575 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Oats,North Dakota,2002,heat,heat_days_30,1.5064,2.095646516516503,0.5892465165165028,0.09259995238095549,0.1571497663293561,"In North Dakota Oats 2002, heat exposure was the dominant modelled driver; moving heat_days_30 toward feasible normal levels recovered 0.093 t/ha (15.7%) of the 0.589 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Oats,South Dakota,2002,frost_cold,frost_events_2d,1.614,2.300597661947656,0.6865976619476559,0.1911400952380944,0.2783873377836616,"In South Dakota Oats 2002, frost/cold stress was the dominant modelled driver; moving frost_events_2d toward feasible normal levels recovered 0.191 t/ha (27.8%) of the 0.687 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Wheat,Colorado,2002,drought,rain_sum,1.5333,2.288568871728872,0.7552688717288718,0.34216090476190164,0.4530319169366368,"In Colorado Wheat 2002, drought/dry-spell stress was the dominant modelled driver; moving rain_sum toward feasible normal levels recovered 0.342 t/ha (45.3%) of the 0.755 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Wheat,Illinois,2002,drought,dry_spell_events_14d,3.2953,3.78409753753752,0.48879753753751976,0.20691942857142995,0.42332338582116313,"In Illinois Wheat 2002, drought/dry-spell stress was the dominant modelled driver; moving dry_spell_events_14d toward feasible normal levels recovered 0.207 t/ha (42.3%) of the 0.489 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Wheat,Minnesota,2002,frost_cold,frost_events_2d,2.2865,3.0337430501930527,0.7472430501930525,0.3649354761904786,0.48837587194179516,"In Minnesota Wheat 2002, frost/cold stress was the dominant modelled driver; moving frost_events_2d toward feasible normal levels recovered 0.365 t/ha (48.8%) of the 0.747 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Wheat,Montana,2002,heat,heatwave_events_3d_30,1.5535,2.163399146289148,0.6098991462891479,0.08503595238095271,0.13942625251788418,"In Montana Wheat 2002, heat exposure was the dominant modelled driver; moving heatwave_events_3d_30 toward feasible normal levels recovered 0.085 t/ha (13.9%) of the 0.610 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Wheat,Nebraska,2002,radiation,radiation_mean,2.2193,2.659434118404114,0.4401341184041141,0.4143665469755437,0.9414551829746777,"In Nebraska Wheat 2002, radiation anomaly was the dominant modelled driver; moving radiation_mean toward feasible normal levels recovered 0.414 t/ha (94.1%) of the 0.440 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Wheat,North Dakota,2002,excess_rain,heavy_rain_days_20,1.836,2.3639458773058664,0.5279458773058663,0.09760628571428494,0.1848793406861601,"In North Dakota Wheat 2002, excess rainfall or wetness was the dominant modelled driver; moving heavy_rain_days_20 toward feasible normal levels recovered 0.098 t/ha (18.5%) of the 0.528 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Wheat,South Dakota,2002,heat,heatwave_events_3d_30,1.7754,2.548265478335466,0.772865478335466,0.1436271904761894,0.18583724399946264,"In South Dakota Wheat 2002, heat exposure was the dominant modelled driver; moving heatwave_events_3d_30 toward feasible normal levels recovered 0.144 t/ha (18.6%) of the 0.773 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Barley,Montana,2003,heat,heat_days_30,2.152,2.657026615186613,0.5050266151866127,0.29123123809523577,0.5766651288024152,"In Montana Barley 2003, heat exposure was the dominant modelled driver; moving heat_days_30 toward feasible normal levels recovered 0.291 t/ha (57.7%) of the 0.505 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Barley,Washington,2003,heat,max_consecutive_heat_days_30,2.5286,3.3467064092664085,0.8181064092664085,0.26396171428571463,0.32264961048576507,"In Washington Barley 2003, heat exposure was the dominant modelled driver; moving max_consecutive_heat_days_30 toward feasible normal levels recovered 0.264 t/ha (32.3%) of the 0.818 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Canola,Montana,2003,heat,max_consecutive_heat_days_35,1.0536,1.4012006715506766,0.34760067155067653,0.26993490476190574,0.7765661198458071,"In Montana Canola 2003, heat exposure was the dominant modelled driver; moving max_consecutive_heat_days_35 toward feasible normal levels recovered 0.270 t/ha (77.7%) of the 0.348 t/ha detrended yield shortfall."
