method,crop,region,year,driver_group,dominant_feature,observed_yield_t_ha,trend_yield_t_ha,yield_gap_t_ha,recovered_gap_t_ha,recoverable_fraction,claim_sentence
01_residual_target_scaa,Oats,Kansas,2011,heat,heatwave_events_3d_30,1.363,1.866915285285284,0.503915285285284,0.4799227286805282,0.9523877181237463,"In Kansas Oats 2011, heat exposure was the dominant modelled driver; moving heatwave_events_3d_30 toward feasible normal levels recovered 0.480 t/ha (95.2%) of the 0.504 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,Minnesota,2011,excess_rain,wet_days_1mm,1.9368,2.349093813813809,0.41229381381380903,0.21927619448939845,0.5318444932778523,"In Minnesota Oats 2011, excess rainfall or wetness was the dominant modelled driver; moving wet_days_1mm toward feasible normal levels recovered 0.219 t/ha (53.2%) of the 0.412 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,North Dakota,2011,excess_rain,max_3day_rain,1.8651,2.328129489489477,0.4630294894894771,0.15675625772436586,0.33854486870199296,"In North Dakota Oats 2011, excess rainfall or wetness was the dominant modelled driver; moving max_3day_rain toward feasible normal levels recovered 0.157 t/ha (33.9%) of the 0.463 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,South Dakota,2011,heat,heatwave_events_3d_30,2.0086,2.5808196696696584,0.5722196696696584,0.15687662039456318,0.27415454013513346,"In South Dakota Oats 2011, heat exposure was the dominant modelled driver; moving heatwave_events_3d_30 toward feasible normal levels recovered 0.157 t/ha (27.4%) of the 0.572 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,Texas,2011,drought,rain_mean,1.2554,1.6572390690690657,0.40183906906906564,0.22742249962371686,0.565954177005693,"In Texas Oats 2011, drought/dry-spell stress was the dominant modelled driver; moving rain_mean toward feasible normal levels recovered 0.227 t/ha (56.6%) of the 0.402 t/ha detrended yield shortfall."
01_residual_target_scaa,Wheat,Iowa,2011,drought,dry_spell_events_14d,3.0263,3.602810000000005,0.5765100000000052,0.2150167229531686,0.3729626944080183,"In Iowa Wheat 2011, drought/dry-spell stress was the dominant modelled driver; moving dry_spell_events_14d toward feasible normal levels recovered 0.215 t/ha (37.3%) of the 0.577 t/ha detrended yield shortfall."
01_residual_target_scaa,Wheat,North Dakota,2011,excess_rain,wet_days_1mm,2.0377,2.725148078078064,0.6874480780780639,0.2548268922465643,0.37068529300277886,"In North Dakota Wheat 2011, excess rainfall or wetness was the dominant modelled driver; moving wet_days_1mm toward feasible normal levels recovered 0.255 t/ha (37.1%) of the 0.687 t/ha detrended yield shortfall."
01_residual_target_scaa,Wheat,Oklahoma,2011,excess_rain,wet_days_1mm,1.5468,2.1266971471471443,0.5798971471471444,0.37815523870326345,0.652107430711863,"In Oklahoma Wheat 2011, excess rainfall or wetness was the dominant modelled driver; moving wet_days_1mm toward feasible normal levels recovered 0.378 t/ha (65.2%) of the 0.580 t/ha detrended yield shortfall."
01_residual_target_scaa,Wheat,Texas,2011,drought,dry_days_1mm,1.6813,2.1031122222222205,0.4218122222222205,0.3168732123562183,0.7512186600161674,"In Texas Wheat 2011, drought/dry-spell stress was the dominant modelled driver; moving dry_days_1mm toward feasible normal levels recovered 0.317 t/ha (75.1%) of the 0.422 t/ha detrended yield shortfall."
01_residual_target_scaa,Barley,South Dakota,2012,excess_rain,wet_days_1mm,1.883,2.462967825825208,0.5799678258252081,0.2694956931552303,0.4646735235213746,"In South Dakota Barley 2012, excess rainfall or wetness was the dominant modelled driver; moving wet_days_1mm toward feasible normal levels recovered 0.269 t/ha (46.5%) of the 0.580 t/ha detrended yield shortfall."
01_residual_target_scaa,Canola,North Dakota,2012,heat,heatwave_events_3d_30,1.5468,1.8322704201680722,0.2854704201680722,0.1666923613256329,0.583921658949785,"In North Dakota Canola 2012, heat exposure was the dominant modelled driver; moving heatwave_events_3d_30 toward feasible normal levels recovered 0.167 t/ha (58.4%) of the 0.285 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,Kansas,2012,drought,rain_mean,1.1836,1.8742633033033016,0.6906633033033016,0.17447495030981885,0.25261940148744083,"In Kansas Oats 2012, drought/dry-spell stress was the dominant modelled driver; moving rain_mean toward feasible normal levels recovered 0.174 t/ha (25.3%) of the 0.691 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,Kansas,2013,excess_rain,max_3day_rain,1.5064,1.8816113213213193,0.3752113213213193,0.17254358478897372,0.4598570858186146,"In Kansas Oats 2013, excess rainfall or wetness was the dominant modelled driver; moving max_3day_rain toward feasible normal levels recovered 0.173 t/ha (46.0%) of the 0.375 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,Minnesota,2013,drought,dry_spell_events_7d,2.0444,2.3854125010725014,0.34101250107250136,0.13215943600268695,0.3875501208519891,"In Minnesota Oats 2013, drought/dry-spell stress was the dominant modelled driver; moving dry_spell_events_7d toward feasible normal levels recovered 0.132 t/ha (38.8%) of the 0.341 t/ha detrended yield shortfall."
01_residual_target_scaa,Wheat,Colorado,2013,frost_cold,frost_events_2d,1.7015,2.3883700171600157,0.6868700171600157,0.24757816512427322,0.36044398348894086,"In Colorado Wheat 2013, frost/cold stress was the dominant modelled driver; moving frost_events_2d toward feasible normal levels recovered 0.248 t/ha (36.0%) of the 0.687 t/ha detrended yield shortfall."
